"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"Continue","Продовжити"
"Password","Пароль"
"Zip/Postal Code","Поштовий код"
"Add to Compare","Порівняти"
"Back","Повернутись"
"Back to Shipping Information","Повернутись до інформації про доставку"
"Display Cart Summary","Показати"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Update Shopping Cart","Перерахувати"
"Order Review","Перегляд замовлення"
"Review Order","Перегляд замовлення"
"Review Order - %s","Перегляд замовлення - %s"
"Continue to Shipping Information","Перейти до інформації про купівлю"
"Continue to Billing Information","Перейти до інформації про оплату "
"Continue Shopping","Перейти до магазину"
"Continue to Review Your Order","Перейти до перегляду Вашого замовлення"
"Get a Quote","Отримати загальну вартість"
"Place Order","Оформити замовлення"
"Proceed to Checkout","Оформити замовлення"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації, або зареєструватись"
"Checkout with Multiple Addresses","Оформити замовлення з кількома адресами"
"Checkout","Оформлення замовлення"
"Update Total","Оновити загальну суму замовлення"
"Update Qty &amp; Addresses","Оновити кількість &amp; адрес"
"Default Billing","Оплата за замовчуванням"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"Shipping Address","Адреса доставки"
"Billing Address","Адреса оплати"
"Street Address","Адреса: Вулиця"
"Send to","Надіслати"
"Product Name","Назва товару"
"Checkout Options","Налаштування замовлення"
"New Address","Нова адреса"
"Create Shipping Address","Нова адреса доставки"
"Create Billing Address","Нова адреса оплати"
"Your order # is: %s","Номер Вашого замовлення: %s"
"Recently added item(s)","Нещодавно доданий товар"
"Invalid data","Невірні дані"
"Invalid shipping method.","Невірний метод доставки."
"Cannot remove item","Неможливо видалити товар"
"Can not add item to shopping cart","Неможливо додати товар в кошик"
"Can not apply coupon code.","Неможливо застосувати код сертифікату."
"Cannot update shopping cart","Неможливо оновит кошик"
"State/Province","Регіон/Область"
"Edit","Редагувати"
"Edit Items","Редагувати товари"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу оплати"
"Edit Shipping Address","Редагувати адресу поставки"
"Edit Your Cart","Редагувати Ваш кошик"
"Your Checkout Progress","Стадія оформлення замовлення"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не визначений"
"Product","Товар"
"Product does not exist","Товару не існує"
"Items","Товарів"
"Quote Lifetime (days)","Термін зберігання товару в кошику (днів)"
"Telephone","Телефон"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>%s товарів</strong></a> ."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","У Вашому кошику <a href=""%s""><strong>1 товар</strong></a>."
"Fax","Факс"
"Price","Ціна"
"Unit Price","Ціна одиниці товару"
"Fast and easy check out","Швидке та легке офрмлення замовлення"
"Enter your coupon code if you have one.","Якщо Ви маєте сертифікат на знижку, введіть його код."
"City","Місто"
"My Cart","Мій кошик"
"My Cart (%s item)","Мій кошик (%s шт.)"
"My Cart (%s items)","Мій кошик (%s шт.)"
"My Account","Мій обліковий запис"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість дозволена для доставки по кільком адресам становить %s"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"Shipping Method","Метод доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Checkout method","Метод оформлення замовлення"
"Shipping Methods","Методи доставки"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Register to Create an Account","Зареєструтесь для створення облікового запису"
"Register","Зареєструватись"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули пароль?"
"Loading next step...","Завантаження наступного кроку..."
"Total for this address","Загальна сума замовлення для даної абреси"
"Cart Subtotal:","Загальна вартість товару в кошику:"
"Grand Total:","Загальна вартість:"
"Close","Закрити"
"Order Success","Замовлення успішно подано"
"Save in address book","Зберегти в адресній книзі"
"Change Billing Address","Змінити адресу оплати"
"Grouped product image","Зображення групового товару"
"Configurable product image","Зображення конфігурованого товару"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до магазину</a>."
"Please log in below:","Будь-ласка, авторизуйтесь в системі нижче:"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний пошовий код. Наприклад 90602 або 90602-1234."
"Please select region, state or province","Будь-ласка, виберіть регіон/область"
"Please select shipping methods for all addresses","Будь-ласка, виберіть методи доставки для всіх адрес"
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з даною email адресою"
"Subtotal","Всього"
"There was an error processing your order. Please contact us or try again later.","Відбулась помилка при обробці Вашого замовлення. Будь-ласка, зконтактуйтесь з нами або спробуйте пізніше ще раз."
"Cancel Coupon","Відмінити сертифікат знижки"
"Login","Вхід в систему"
"Based on your selection, you may be interested in the following items:","Вас можуть зацікавити такі товари:"
"You have no items in your shopping cart.","Ваш кошик порожній."
"Your order has been received","Ваше замовлення було прийнято"
"Enter a New Address","Ввести нову адресу"
"Already registered?","Вже зареєстровані?"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що бажаєте видалити даний товар з кошика ?"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Select State/Province...","Виберіть регіон/область..."
"Select Address","Виберіть адресу"
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставк "
"Remove","Видалити"
"Remove Item","Видалити товар"
"Remove Product","Видалити товар"
"Apply Coupon","Використати сертифікат"
"Use Billing Address","Використати адресу оплати"
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для отримання розрахунку."
"Thank you for your purchase!","Дякуємо за покупку!"
"Shipping to","Доставка до"
"Ship to this address","Доставка до вказаної адреси"
"Default Shipping","Доставка за замовчуванням"
"Ship to Multiple Addresses","Доставка кільком адресам"
"Ship to different address","Доставка по різним адресам"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"Move to Wishlist","Додати до списку бажань"
"Add New Address","Додати нову адресу"
"Allow Guest Checkout","Дозволити оформляти замовлення без реєстрації"
"Some of the products you requested are not available in the desired quantity","Деякі продукти, що Ви замовили, на даний момент недоступні у необхідній кількості"
"Some of the products you requested are unavailable","Деякі продукти, що Ви замовили,на даний момент недоступні"
"Card Verification Number Visual Reference","Інформація про вид перевірочного коду на картці"
"Shipping Information","Інформація по доставці"
"Billing Information","Інформація по оплаті"
"Payment Information","Інформація по оплаті"
"Billing Information - %s","Інформація по оплаті - %s"
"My Cart Link","Лінк на мій кошик"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
