"%s already exist","%s вже існують"
"%s already exists","%s вже існує"
"-- Please Select --","-- Please Select --"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translate Inline","Translate Inline"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Use custom admin URL","Use custom admin URL"
"Use HTTP Only","Use HTTP Only"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Website doesn't exist","Website doesn't exist"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Default country","Країна за замовчуванням"
"Model class does not exist: %s","Клас моделі не існує: %s"
"Root Category","Коренева категорія"
"Code","Код"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код вебсайту повинен вміщати лише літери (а-я), цифри (0-9), або символ підкреслення(_). Перший знак повинен бути літерою"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Код групи магазинів повинен вміщати лише літери (а-я), цифри (0-9), або символ підкреслення(_). Перший знак повинен бути літерою"
"Empty identifier field name","Пусте значення ідентифікатора назви поля"
"Empty main table name","Пусте значення назви основної таблиці"
"Customer support","Підтримка клієнтів"
"Template Path Hints","Підказка шляху шаблону"
"Profiler","Профайлер"
"Sales representative","Представник по продажам"
"Package","Пакет"
"Services","Послуги"
"Start date can't be greater than end date","Початкова дата не повинна бути більшою за кінцеву"
"Sort order","Порядок сортування"
"Port (25)","Порт (25)"
"Debug","Повідомити про помилку"
"Back","Повернутись"
"Enabled","Показувати"
"Enabled for Admin","Показувати для Адміністратора"
"Enabled for Frontend","Показувати на зовнішньому інтерфейсі"
"Error in file: ""%s"" - %s","Помилка у файлі: ""%s"" - %s"
"Error while saving. Please try again later.","Помилка при збереженні. Будь-ласка, спробуйте ще раз пізніше."
"Before modifying the website code please make sure that it is not used in index.php","Перед внесенням змін в код вебсайту, будь-ласка, переконайтесь, що він не використовується в index.php"
"Before modifying the store view code please make sure that it is not used in index.php","Перед внесенням змін в код магазину, будь-ласка, переконайтесь, що він не використовується в index.php"
"Translations","Переклади"
"Base JavaScript URL","Основний JavaScript URL"
"Base URL","Основний URL"
"Base Link URL","Основний URL посилання"
"Custom email 1","Особливий email 1"
"Custom email 2","Особливий email 2"
"Custom Design","Особливий дизайн"
"Developer Client Restrictions","Обмеження розробника щодо користувачів"
"Search Engines Optimization","Оптимізація під пошукові двигуни"
"Url Options","Опції Url"
"Website Name","Назва вебсайту"
"Store Name","Назва групи магазинів"
"Store View Name","Назва магазину"
"Model collection resource name is not defined","Назва моделі колекції даних не задана"
"Current package name","Назва поточного пакету"
"New Design Change","Нові зміни в дизайні"
"New Store","Нова група магазинів"
"New Website","Новий вебсайт"
"New Store View","Новий магазин"
"Wrong number of arguments for %s","Невірна кількість аргументів для %s"
"Invalid block name to set child %s: %s","Невірна назва блоку для створення під-блоку %s: %s"
"Invalid block type: %s","Невірний тип блоку: %s"
"Invalid base url type","Невірний тип основного url "
"Invalid block: %s","Невірний блок: %s"
"Invalid transactional email code: ","Невірний код транзакційного email: "
"Invalid messages storage ""%s"" for layout messages initialization","Невірне збереження повідомлення ""%s"" для ініціалізації щаблону повідомлень"
"Invalid websites configuration path: %s","Невірне налаштування шляху вебсайту: %s"
"Unknown scope ""%s""","Невідомий контекст ""%s"""
"Unsecure","Незахищене з'єднання"
"Cannot Delete Email Template","Неможливо видалити Email шаблон"
"Can't retrieve request object","Неможливо знайти пошуковий об'єкт"
"Unable to proceed. Please, try again","Неможливо продовжити. Будь-ласка, спробуйте ще раз пізніше"
"Advanced","Розширені"
"Developer","Розробник"
"Edit Website","Редагувати вебсайт"
"Edit Store","Редагувати групу магазинів"
"Edit Design Change","Редагувати зміни в дизайні"
"Edit Store View","Редагувати магазин"
"Status","Статус"
"Create Website","Створити вебсайт"
"Create Store","Створити групу магазинів"
"Create Store View","Створити магазин"
"Default Pages","Сторінки за замовчуванням"
"System","Система"
"Skin (Images / CSS)","Скін (Зображення/ CSS)"
"Session Cookie management","Сесії Cookie"
"Your session has been expired, you will be relogged in now.","Термін Вашої сесії збіг, зараз Ви заново ввійдете в систему."
"Themes","Теми"
"Controller file was loaded but class does not exist","Файл контролеру був завантажений, проте класу не існує"
"Host","Хост"
"This is a required field.","Це поле є обов'язковим."
"Cookie Lifetime","Час збереження Cookie"
"Timezone","Часові зони"
"Forgot Password Email Template","Шаблон"
"Layout","Шаблон"
"Templates","Шаблони"
"Cookie Path","Шлях до Cookie"
"Request path for specified store","Шлях запиту до вказаної групи магазинів"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","невірний аргумент оновлення шаблону, expected Mage_Core_Model_Layout_Element"
"Store View was successfully saved","Магазин був успішно збережений"
"Default Store View","Магазин за замовчуванням"
"Default","За замовчуванням"
"Secure","Захищене з'єднання"
"General","Загальні"
"General contact","Загальні контакти"
"General Settings","Загальні налаштування"
"Leave empty for access from any location","Залишіть пустим для доступу з будь-якого місця"
"Save","Зберегти"
"Save Website","Зберегти вебсайт"
"Save Store","Зберегти групу магазинів"
"Save Store View","Зберегти магазин"
"Design Change","Зміна дизайну"
"Please select State/Province.","Будь-ласка, ввиберіть регіон/область."
"Please select one of the options.","Будь-ласка, ввиберіть один з варіантів."
"Please select one of the above options.","Будь-ласка, ввиберіть один з вищенаведених варіантів."
"Please enter 6 or more characters.","Будь-ласка, введіть 6 або більше знаків."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Будь-ласка, введіть 6 або більше знаків. Пробіли проставлені спереду та ззаду враховуватись не будуть."
"Please enter a valid email address. For example johndoe@domain.com.","Будь-ласка, введіть вірну email адресу. 
Наприклад ivandoe@domain.com."
"Please enter a valid date.","Будь-ласка, введіть вірну дату."
"Please enter a valid URL. http:// is required","Будь-ласка, введіть вірний URL. Обов'язково поставте http:// перед адресою"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Будь-ласка, введіть вірний URL. Наприклад http://www.example.com або www.example.com"
"Please enter a valid social security number. For example 123-45-6789.","Будь-ласка, введіть вірний номер соціального страхування. Наприклад 123-45-6789."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Будь-ласка, введіть вірний номер телефону. Наприклад (123) 456-7890 або 123-456-7890."
"Please enter a valid number in this field.","Будь-ласка, введіть вірний номер в це поле."
"Please enter a valid credit card number.","Будь-ласка, введіть вірний номер кредитної картки."
"Please enter valid password.","Будь-ласка, введіть вірний пароль."
"Please enter a valid zip code.","Будь-ласка, введіть вірний поштовий код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь-ласка, введіть вірний поштовий код. Наприклад 90602 або 90602-1234."
"Please enter a valid $ amount. For example $100.00.","Будь-ласка, введіть дійсну суму $. Наприклад $100.00."
"Please enter a number greater than 0 in this field.","Будь-ласка, введіть значення більше 0 в цьому полі."
"Please select an option.","Будь-ласка, виберіть варіант."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Будь-ласка, використовуйте тільки цифри для цього поля. Уникайте використання пробілів та інших знаків, таких як крапчи чи коми."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Будь-ласка, використовуйте цей формат дати: дд/мм/рррр. Наприклад 17/03/2006 для 17го Березня, 2006 року."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Будь-ласка, використовуйте лише літери (а-я) або цифри (0-9) для цього поля. Використання пробілів та інших знаків заборонено."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), або символ підкреслення(_) для цього поля. Перший знак повинен бути літерою."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Будь-ласка, використовуйте лише літери (а-я), цифри (0-9), пробіли або # для цього поля."
"Please use letters only (a-z) in this field.","Будь-ласка, для цього поля використовуйте лише літери (а-я)."
"Please wait, loading...","Будь-ласка, зачекайте..."
"Please make sure your passwords match.","Будь-ласка, переконайтесь в тому, що Ваші паролі співпадають."
"Block with name ""%s"" already exists","Блок з іменем ""%s"" вже існує"
"Set as default","Встановити за замовчуванням"
"Date From","Від"
"Disable email communications","Відключити можливість спілкування через email "
"Disable modules output","Відключення виводу модулів"
"Cancel","Відмінити"
"Forgot Password Email Sender","Відправник"
"Countries options","Варіанти країн"
"Are you sure?","Ви впевнені?"
"Delete","Видалити"
"Delete Website","Видалити вебсайт"
"Delete Store","Видалити групу магазинів"
"Delete Store View","Видалити магазин"
"This category only","Виключно ця категорія"
"Use Web Server Rewrites","Використовувати Web Server Rewrites"
"Use Secure URLs in Frontend","Використовувати захищені URL у зовнішньому інтерфейсі"
"Use Secure URLs in Admin","Використовувати захищені URL в Адміністративній панелі"
"Web","Веб"
"Default web url","Веб url за замовчуванням"
"Website","Вебсайт"
"Website was successfully deleted.","Вебсайт був успішно видалений."
"Website was successfully saved","Вебсайт був успішно збережений"
"Website with the same code","Вебсайт з одинаковим кодом"
"Store","Група магазинів"
"Store was successfully deleted.","Група магазинів була успішно видалена."
"Store was successfully saved","Група магазинів була успішно збережена"
"Store with the same code","Група магазинів з одинаковим кодом"
"Default Store","Група магазинів за замовчуванням"
"Manage Stores","Групи магазинів"
"Global","Глобальна змінна"
"Duplicate Of Template Code","Дублювати шаблон коду"
"Resource is not set","Дані не встановлені"
"Design","Дизайн"
"Date To","До"
"Add Store Code to Urls","Додати код магазину до Url"
"Allowed IPs (comma separated)","Дозволені IP (через кому)"
"Allow countries","Дозволені країни"
"Name","Ім&#39;я"
"Sender name","Ім'я відправника"
"Website Information","Інформація про вебсайт"
"Store Information","Інформація про групи магазинів"
"Store View Information","Інформація про магазин"
"Sender email","Еmail відправника"
"Locale options","Локальні налаштування"
"Locale","Локальна змінна"
